word,Length,Arousal.M,Arousal.SD,Arousal.N,Valence.M,Valence.SD,Valence.N,Dominance.M,Dominance.SD,Dominance.N,Concreteness.M,Concreteness.SD,Concreteness.N,Imageability.M,Imageability.SD,Imageability.N,Familiarity.M,Familiarity.SD,Familiarity.N,AoA.M,AoA.SD,AoA.N,Size.M,Size.SD,Size.N,Gender.M,Gender.SD,Gender.N
pride (feeling),5,6.125,2.132,32,7.063,1.836,32,7.097,2.022,31,2.344,1.533,32,2.871,1.755,31,5.613,1.452,31,4.061,1.179,33,5.903,0.962,31,4.424,1.759,33
pride (lions),5,5.829,2.035,35,6.294,1.506,34,5.273,2.378,33,6.147,1.331,34,6.559,0.914,34,4.543,1.991,35,4.5,1.649,34,5.457,1.518,35,5.441,1.575,34
process (modify),7,3.571,1.975,35,5.629,1.197,35,5.471,1.974,34,3.088,1.652,34,2.529,1.649,34,4.879,1.572,33,5.824,1.097,34,4.394,1.476,33,4.371,0.865,35
process (procedure),7,3.088,1.579,34,4.941,0.765,34,5.618,1.863,34,3.515,1.828,33,3.265,1.651,34,5.706,1.362,34,5.353,1.348,34,4.677,1.104,34,4.206,0.677,34
process (understand),7,3.97,1.977,33,6.029,1.295,34,6.088,1.669,34,2.939,1.476,33,2.594,1.366,32,5.879,1.066,33,5.257,1.051,35,4.706,1.273,34,3.97,0.87,33
project (enterprise),7,5.114,2.227,35,6.303,1.167,33,6.206,1.728,34,4.121,1.871,33,3.706,1.69,34,5.324,1.429,34,4.794,1.132,34,5.206,1.278,34,4.912,0.919,34
project (protrude),7,4.697,2.181,33,4.879,1.32,33,5.441,1.594,34,4.235,1.496,34,4.212,1.572,33,4.576,1.67,33,5.735,1.093,34,4.794,1.324,34,4.455,0.924,33
prune (fruit),5,2.853,1.629,34,5.121,1.148,33,5.485,1.69,33,6.559,0.694,34,6.147,1.167,34,4.606,2.117,33,3.909,1.164,33,2,1.118,32,3.235,0.877,34
prune (trim),5,3.97,1.834,33,5.563,1.059,32,5.677,1.821,31,4.735,1.4,34,5.031,1.811,32,3.606,1.74,33,5.324,1.254,34,2.735,1.29,34,3.242,1.102,33
pull (attratcion),4,5.906,1.926,32,6.943,1.094,35,5.424,2.362,33,3.303,1.547,33,3.613,1.698,31,5.677,1.3,34,5,1.723,33,4.774,1.496,31,3.697,1.193,33
pull (drag),4,3.849,2.204,33,4.029,1.317,34,5.118,2.026,34,4.559,1.575,34,4.636,1.806,33,5.5,1.377,34,2.912,1.541,34,3.849,1.048,33,4.424,0.922,33
pulse (e.g. beans),5,3.719,1.841,32,5.167,1.036,30,5.194,1.857,31,5.742,1.759,31,5.75,2,32,3.667,2.07,33,5.667,1.45,33,2.387,1.384,31,4.152,1.373,33
pulse (heartbeat),5,6.294,1.672,34,6.412,1.478,34,5.147,2.158,34,5.912,1.197,34,4.853,1.309,34,6.059,1.056,34,4.059,1.027,34,3.324,1.859,34,3.147,1.033,34
pumps (equipment),5,3.177,1.79,34,5.057,0.715,35,4.886,1.41,35,6.371,0.831,35,5.235,1.8,34,4.147,1.972,34,4.914,1.381,35,3.743,1.401,35,4.971,0.923,34
pumps (shoes),5,4.735,2.2,34,5.515,1.048,33,5.794,1.451,34,6.677,0.674,34,6.559,0.945,34,4.629,2.099,35,5.294,1.618,34,2.546,1.157,33,1.618,0.94,34
punch (drink),5,5.857,1.869,35,5.829,1.665,35,5.2,1.721,35,5.857,1.15,35,5.943,0.984,35,4.152,1.893,33,5.2,1.43,35,3.286,1.343,35,3.686,1.214,35
punch (strike),5,6.333,2.383,33,2.03,0.969,33,5.97,2.588,33,5.849,1.258,33,5.844,1.394,32,6.094,1.355,32,2.97,1.029,33,4.849,1.395,33,6.182,0.869,33
pupil (eye),5,3.813,1.991,32,5.429,1.249,35,5.314,1.635,35,6.629,0.721,35,6.6,0.835,35,5.879,1.409,33,3.771,1.123,35,2.429,1.555,35,3.943,0.674,35
pupil (school),5,3.429,1.4,35,5.657,1.82,35,4.177,2.32,34,6.333,0.882,36,6.559,0.604,34,6.206,1.158,34,2.886,1.141,35,2.829,1.298,35,3.971,0.736,35
pussy (cat),5,5.212,2.496,33,6.382,1.415,34,5.576,2.06,33,6.441,0.811,34,6.571,0.871,35,5.333,1.87,33,2.286,1.541,35,2.914,1.228,35,2.324,0.83,34
pussy (vagina),5,5.936,2.663,31,4.97,2.181,33,5.914,1.811,35,5.914,1.697,35,5.939,1.496,33,5.394,1.613,33,6.486,0.732,35,3.294,1.201,34,1.206,0.583,34
pussy (wimp),5,3.771,2.38,35,2.4,1.418,35,3.029,2.107,34,2.882,1.859,34,3.794,1.937,34,4.706,1.963,34,6.029,1.23,35,3.171,1.647,35,3.686,1.864,35
puzzle (jigsaw),6,5,2.132,33,5.706,1.125,34,4.97,1.66,33,6.219,1.082,32,6.324,0.898,34,5.515,1.438,33,2.182,0.716,33,3.344,1.162,32,3.818,0.936,33
puzzle (mystery),6,5.879,2.384,33,5.382,1.627,34,4.697,1.992,33,3.912,1.56,34,3.667,1.645,33,5.412,1.375,34,2.879,1.008,33,4.469,1.172,32,3.912,1.147,34
quack (charlatan),5,4.429,2.321,28,3.143,1.575,28,4.63,1.908,27,3.643,1.368,28,3.75,1.785,28,2.606,1.74,33,5.8,1.621,30,3.444,1.315,27,4.677,1.423,31
quack (duck),5,4.441,2.131,34,5.588,1.032,34,4.971,1.124,34,4.853,1.927,34,4.939,1.922,33,5.182,1.731,33,1.706,0.666,34,2.515,1.104,33,3.677,1.077,34
queen (gay),5,4.853,1.987,34,5.294,1.963,34,5.118,1.795,34,3.618,1.799,34,4.912,1.755,34,3.429,1.917,35,6.324,0.756,34,4.424,1.207,33,3.559,1.802,34
queen (king),5,5.576,2.118,33,6.394,1.722,33,5.333,2.716,33,6.091,1.288,33,6.546,0.782,33,6.129,1.718,31,2.485,0.609,33,5.576,1.538,33,1.546,1.183,33
race (colour),4,4.714,1.845,35,5.029,1.383,35,4.849,1.987,33,4.343,1.772,35,5.286,1.798,35,6.059,1.413,34,4.543,1.48,35,5.343,1.511,35,4.229,1.044,35
race (contest),4,5.871,2.575,31,5.516,1.542,31,5.406,1.95,32,4.788,1.771,33,5.813,1.379,32,5.968,1.282,31,2.546,0.891,33,4.677,1.305,31,5.125,1.053,32
racket (noise),6,4.969,2.778,32,3.706,1.466,34,4.543,2.102,35,4.324,1.727,34,3.303,1.784,33,5.343,1.603,35,3.849,1.708,33,5.161,1.221,31,4.235,0.972,34
racket (tennis),6,3.969,2.128,32,5.469,0.866,32,5.452,0.874,31,6.774,0.489,31,6.576,0.74,33,6,1.225,32,3.515,1.258,33,3.188,1.333,32,4.273,0.827,33
raise (bring up),5,4.706,1.856,34,6.727,1.309,33,4.943,2.097,35,3.8,1.618,35,3.886,1.489,35,5.606,1.369,33,4.086,1.204,35,4.629,1.354,35,3.257,1.203,35
raise (increase),5,5.824,2.036,34,6.824,1.224,34,5.857,1.334,35,3.657,1.264,35,3.853,1.881,34,5.941,1.371,34,3.857,0.99,35,5.118,1.051,34,4.086,0.967,35
raise (lift),5,4.829,1.682,35,6.257,1.317,35,6.257,1.48,35,4.857,1.588,35,4.971,1.424,35,5.03,1.425,33,3.857,1.376,35,4.455,1.131,33,4.257,1.441,35
range (array),5,3.5,1.904,32,5.324,1.049,34,5.412,1.437,34,3.177,1.524,34,2.656,1.632,32,4.727,2.164,33,5.441,1.575,34,4.412,1.555,34,4.212,1.008,33
range (outdoors),5,4.938,2.331,32,5.903,1.593,31,5.75,1.581,32,4.75,1.732,32,4.333,1.949,33,4.273,1.863,33,5.125,1.341,32,5.438,1.784,32,5.313,0.982,32
rank (foul),4,3.75,2.398,32,2.031,1.159,32,4.515,1.743,33,2.97,1.487,33,3.807,1.804,31,4.576,1.558,33,5.121,1.273,33,4.094,1.308,32,5.031,1.045,32
rank (position),4,4.152,2.388,33,5.088,1.039,34,6.171,2.145,35,3.882,1.728,34,3.353,1.861,34,4.313,1.609,32,5,1.195,35,4.314,1.347,35,5.471,1.007,34
rare (uncommon),4,6.281,2.065,32,6.371,1.79,35,5.515,1.777,33,2.514,1.592,35,2.882,1.605,34,5.853,1.263,34,4.118,1.182,34,4.314,2.067,35,3.382,0.971,34
rare (uncooked),4,3.382,1.91,34,4.394,1.613,33,4.849,1.131,33,4.857,1.496,35,5.182,1.749,33,4.879,1.647,33,4.943,1.453,35,2.771,1.197,35,4.576,1.129,33
rash (reckless),4,5.273,2.352,33,3.182,1.766,33,4.875,2.247,32,2.667,1.407,33,2.938,1.435,32,4.067,1.896,30,5.485,1.438,33,4.419,1.29,31,5,1.25,32
rash (skin),4,3.257,2.26,35,2.382,1.237,34,3.6,1.589,35,6.029,1.183,35,6.4,0.901,35,5.471,1.631,34,3.371,1.244,35,2.886,1.237,35,3.914,0.649,35
rat (animal),3,4.563,2.29,32,4.03,1.566,33,4.807,1.674,31,6.677,0.996,31,6.813,0.464,32,6.548,0.978,31,2.563,0.788,32,2.226,1.361,31,4.97,0.904,33
rat (inform),3,3.857,2.219,35,3.257,1.48,35,4.546,2.105,33,4.206,1.43,34,4.088,1.853,34,3.485,1.909,33,4.912,1.358,34,3.143,1.533,35,4.829,1.028,35
rear (behind),4,4.571,2.296,35,4.941,1.349,34,4.765,1.832,34,5.371,1.569,35,4.886,1.635,35,4.941,1.765,34,4.5,1.685,34,3.667,1.223,33,3.6,1.292,35
rear (raise),4,3.849,1.794,33,5.576,1.596,33,4.818,1.696,33,3.344,1.449,32,3.438,1.435,32,4.273,1.746,33,5.118,1.43,34,4.219,1.34,32,3.419,1.314,31
record (information),6,3.6,2.18,35,5.235,1.554,34,5.229,2.044,35,4.914,1.402,35,4.088,1.652,34,5.939,1.153,33,4.771,1.244,35,3.912,1.597,34,4.743,1.024,35
record (to register),6,3.516,1.932,31,5.387,0.939,31,5.258,1.458,31,4,1.371,33,3.467,1.284,30,5.516,1.644,31,4.727,1.355,33,3.563,1.273,32,4.063,0.933,32
remote (controller),6,3.667,2.127,33,5.412,1.088,34,6.697,1.766,33,6.455,0.956,33,6.4,0.869,35,6.161,1.167,31,3.571,1.294,35,3.088,1.314,34,4.912,0.919,34
remote (distant),6,3.455,1.742,33,3.364,1.473,33,3.625,2.043,32,3.091,1.602,33,4.677,1.981,34,4.906,1.627,32,5.294,1.249,34,4.161,1.985,31,4.147,1.088,34
right (correct),5,5.765,2.276,34,7.882,1.255,34,7.088,2.063,34,3.057,1.851,35,3.353,1.713,34,6.515,0.892,33,2.059,1.211,34,5.029,1.276,35,3.5,1.194,34
right (left),5,3.371,1.914,35,5.375,0.927,32,5.559,1.397,34,4.457,1.962,35,4.412,1.7,34,6.441,0.945,34,2.514,0.996,35,3.471,1.334,34,4.182,0.796,33
right (legal claim),5,3.971,2.261,35,6.412,2.06,34,6.382,2.646,34,3.571,1.961,35,2.677,1.727,34,5.424,1.457,33,5.6,1.176,35,4.886,1.43,35,4.588,1.263,34
ring (jewellery),4,6.091,2.08,33,6.886,1.526,35,5.771,1.495,35,6.943,0.232,35,6.677,0.962,34,6.486,1.025,35,2.943,1.094,35,2.118,1.255,34,2,1.155,33
ring (sound),4,5.424,2.387,33,5.606,0.952,33,4.909,1.19,33,5.394,1.496,33,4.576,2.189,33,5.879,1.493,33,2.5,1.194,34,3.412,1.191,34,3.727,1.162,33
ring (surround),4,3.529,2.104,34,4.879,1.552,33,4.265,2.133,34,3.941,1.434,34,4.576,1.776,33,4.406,1.765,32,3.818,1.167,33,3.939,1.556,33,4.029,1.108,35
rocket (go quickly),6,6.371,2.001,35,6.057,0.984,35,6.657,1.567,35,3.886,1.879,35,5.057,1.689,35,4.353,1.643,34,4,1.586,35,4.886,1.753,35,5,1.045,33
rocket (leaves),6,3.625,2.446,32,5.618,1.058,34,5.853,1.849,34,6.171,1.082,35,6.171,1.363,35,5.353,1.747,34,5.743,1.461,35,2.606,1.229,33,3.765,1.33,34
rocket (projectile),6,5.909,1.815,33,4.971,1.807,34,5.219,1.866,32,5.867,1.431,30,6.273,1.023,33,5.094,1.792,32,4,1.435,34,5.088,1.755,34,5.515,1.019,33
roll (bread),4,3.657,2.229,35,5.886,1.09,35,5.226,1.408,31,6.294,1.201,34,6.636,0.688,33,6.219,1.408,32,2.486,1.052,35,2.147,1.004,34,3.794,0.963,34
roll (turn over),4,4.364,2.101,33,5.147,0.974,34,5.033,1.56,30,4.606,1.687,33,5.344,1.67,32,5.875,1.293,32,2.485,0.892,33,3.344,1.383,32,4.121,0.64,33
ruler (leader),5,5.743,1.556,35,5.029,1.886,34,5.727,3.305,33,5.818,1.266,33,5.879,0.977,33,5.333,1.47,33,4.143,1.334,35,5.727,1.441,33,5.529,1.064,34
ruler (measure),5,2.765,1.664,34,4.971,0.291,35,5.143,1.496,35,6.314,0.979,35,6.514,0.77,35,5.618,1.609,34,2.714,0.813,35,2.914,1.105,35,4.5,0.697,34
run (race),3,6.344,1.93,32,6.091,1.24,33,6.515,1.635,33,5.121,1.273,33,5.697,1.337,33,5.909,1.564,33,2.121,0.769,33,4.788,1.472,33,4.818,1.058,33
run (series),3,3.882,1.694,34,5.344,0.888,32,5.088,1.38,34,3.794,1.623,34,3.265,1.651,34,4.2,1.6,35,4.412,1.458,34,4,1.328,34,4.206,0.472,34
run (stockings),3,4.125,2.043,32,4.677,1.305,31,4.656,1.573,32,4.781,1.536,32,4.5,1.974,34,3.636,1.839,33,4.936,1.74,31,3.059,1.413,34,2.677,1.322,34
run (test),3,3.853,1.817,34,4.75,1.031,32,4.781,1.866,32,4.121,1.451,33,3.727,1.638,33,4.242,1.615,33,4.618,1.732,34,3.903,1.376,31,4.5,0.883,34
sage (herb),4,3.647,2.195,34,5.441,1.117,34,5.576,1.129,33,6.5,1.036,34,5.853,1.458,34,4.594,1.982,32,5.706,1.318,34,2.177,1.361,34,2.882,1.207,34
sage (wise man),4,4.625,2.233,32,6.914,1.18,35,6.03,1.992,33,4.618,1.971,34,5.086,1.873,35,2.697,1.915,33,5.97,1.267,33,4.143,1.437,35,6.029,1.339,34
scale (fish),5,3.121,1.903,33,4.794,1.079,34,5.206,1.389,34,6.118,1.231,34,6.118,1.301,34,5.032,2.008,31,3.765,1.373,34,1.606,0.919,33,4.206,0.832,34
scale (magnitude),5,4.5,2.239,34,5.303,1.403,33,5.029,1.92,35,3.486,1.663,35,3.429,1.555,35,5.382,1.435,34,5.265,1.22,34,4.771,1.725,35,4.394,0.851,33
scale (musical),5,5.118,2.011,34,6.529,1.519,34,5.647,1.532,34,4.394,1.613,33,4.588,1.784,34,5.265,1.703,34,4.706,1.226,34,3.471,1.649,34,3.235,1.086,34
scale (weighing),5,3.588,2.157,34,5.029,1.253,35,4.688,2.338,32,6.086,1.156,35,6.212,0.844,33,5.324,1.49,34,3.618,1.329,34,3.706,1.6,34,2.941,1.235,34
screw (builder),5,3.576,1.759,33,5.088,0.818,34,5.563,1.694,32,5.818,1.486,33,5.5,1.639,32,4.242,2.189,33,4.147,1.7,34,2.25,1.479,32,5.788,1.148,33
screw (sex),5,7.273,2.049,33,5.758,2.511,33,5.25,2.264,32,4.424,1.985,33,5.515,1.373,33,5.273,1.441,33,6.394,0.814,33,4.455,1.539,33,5.424,1.415,33
seal (animal),4,4.257,2.089,35,5.943,1.473,35,5.265,1.066,34,6.588,1.115,34,6.829,0.377,35,5.382,1.591,34,3.057,1.094,35,4.147,1.629,34,3.618,0.841,34
seal (close),4,3.406,1.558,32,5.343,1.068,35,5.625,1.536,32,4.939,1.254,33,4.515,1.598,33,4.824,1.581,34,4.029,1.248,34,3.5,1.399,34,4.061,0.919,33
season (add spice),6,5.057,2.19,35,6.324,1.077,34,6.206,1.549,34,4.914,1.61,35,5.364,1.275,33,5.706,1.201,34,5.429,1.46,35,2.588,1.417,34,3.543,1.518,35
season (period of time),6,4.758,2.202,33,6.441,1.439,34,4.441,1.575,34,4.375,1.728,32,5.333,1.77,33,6.063,1.273,32,3.029,0.845,35,5.706,0.956,34,3.242,0.954,33
second (position),6,4.152,2.091,33,5.412,1.375,34,5,1.91,34,4.606,1.705,33,4.344,1.946,32,5.875,1.495,32,2.686,1.41,35,3.606,1.369,33,4.029,1.2,34
second (unit of time),6,3.25,1.785,32,5.086,0.439,35,4.314,1.753,35,4.743,1.947,35,3.571,2.182,35,6.265,1.146,34,2.971,1.055,35,2.286,1.446,35,4.029,0.514,34
select (choose),6,4.941,2.127,34,5.971,1.014,34,6.875,1.763,32,3.429,1.729,35,3.324,1.81,34,5.515,1.559,33,3.686,1.326,35,4.406,1.247,32,3.618,0.768,34
select (elite),6,4.939,2.029,33,4.968,1.84,31,5.375,2.497,32,2.788,1.493,33,3.303,1.66,33,4.355,1.733,31,5.546,1.183,33,3.441,1.785,34,4.118,1.388,34
sense (common),5,4.125,2.103,32,7.156,1.093,32,6.25,1.837,32,2.303,1.403,33,2.375,1.495,32,6.097,1.027,31,4.212,1.343,33,4.968,1.257,31,3.273,1.355,33
sense (feel),5,6.229,2.166,35,6.371,1.221,35,5.914,2.247,35,2.576,1.538,33,2.879,1.719,33,5.829,1.253,35,4.353,1.493,34,4.4,1.477,35,2.971,0.985,34
sentence (phrase),8,3.371,1.929,35,5.265,0.699,34,5.229,1.098,35,4.559,1.701,34,4.029,1.689,34,6.059,1.056,34,3,0.828,35,3.147,1.309,34,3.824,0.954,34
sentence (prison),8,5.121,2.371,33,2.429,1.661,35,2.455,1.653,33,4.032,1.858,31,3.879,1.95,33,4.455,2.001,33,5,1.095,35,5.706,1.016,34,5.206,0.867,34
serve (perform duties),5,4.273,2.15,33,4.939,1.808,33,3.364,2.397,33,3.758,1.156,33,3.758,1.985,33,4.938,1.87,32,4.333,1.247,33,3.939,1.455,33,4.152,1.395,33
serve (tennis),5,4.029,2.149,34,5.324,0.674,34,6.114,1.737,35,4.912,1.541,34,5.471,1.576,34,4.657,1.866,35,5.152,1.048,33,3.647,1.348,34,4.765,0.842,34
set (determined),3,4.875,1.996,32,6.909,1.658,33,6.818,2.249,33,3.182,1.604,33,2.375,1.317,32,4.906,1.627,32,4.606,1.496,33,4.781,1.34,32,4.281,1.038,32
set (group),3,3.647,1.696,34,5.212,0.686,33,4.849,1.184,33,4.469,1.323,32,4.853,1.751,34,5.118,1.711,34,4.273,1.355,33,3.969,1.38,32,3.853,0.692,34
set (solidify),3,3.879,1.838,33,5.455,1.104,33,5.424,1.371,33,5.091,1.401,33,4.226,1.43,31,4.576,1.457,33,4.286,1.717,35,3.849,1.077,33,4.882,0.963,34
sex (gender),3,6.147,1.751,34,5.588,1.458,34,4.657,2.484,35,3.943,1.912,35,4.8,1.954,35,6.257,1.25,35,4.771,1.436,35,5,1.512,35,3.943,0.924,35
sex (intercourse),3,7.485,2.017,33,7.485,1.209,33,6.323,1.73,31,6.242,1.207,33,6.313,1.356,32,6.667,0.83,30,5.273,1.332,33,5.061,1.391,33,4.063,1.713,32
shade (out of the sun),5,3.75,1.803,32,5.688,1.236,32,4.969,1.686,32,5.656,1.049,32,5.97,1.314,33,6.188,1.014,32,3.065,1.105,31,4.387,1.262,31,3.394,0.983,33
shade (tint),5,3.343,1.638,35,5.114,1.214,35,5.371,1.456,35,4.088,1.522,34,4.5,1.595,34,4.618,1.732,34,4.257,1.104,35,3,1.309,35,3.059,1.027,34
sharp (blade),5,5.371,2.879,35,3.343,1.723,35,4.971,2.547,35,5.314,1.652,35,5.457,1.295,35,5.714,1.406,35,2.857,1.515,35,3.882,1.711,34,5.2,1.09,35
sharp (smart),5,5.515,2.324,33,7.364,1.389,33,7.303,1.527,33,3.455,1.539,33,3.697,1.605,33,5.344,1.513,32,4.455,1.437,33,4.242,1.232,33,4.455,1.233,33
sheer (thin),5,4.121,1.996,33,4.75,1.581,32,4.091,1.798,33,3.807,1.674,31,4.688,1.828,32,4.531,1.581,32,5.121,1.32,33,2.188,1.356,32,2.879,1.148,33
sheer (utter),5,4.355,1.993,31,4.567,1.023,30,4.767,1.745,30,2.833,1.241,30,2.621,1.4,29,4.765,1.941,34,5.645,1.064,31,4.581,1.81,31,4.065,0.914,31
shell (military),5,5.147,2.088,34,3.559,1.701,34,5.636,2.144,33,5.914,1.204,35,5.765,1.477,34,3.781,1.653,32,5.457,1.227,35,4.333,1.664,33,5.939,1.254,33
shell (sea),5,4.375,1.709,32,5.97,1.141,33,5.152,1.209,33,6.667,0.636,33,6.484,1.241,31,5.548,1.757,31,2.394,0.919,33,1.844,1.277,32,2.849,0.957,33
ship (boat),4,3.97,1.946,33,5.6,1.2,35,4.912,2.035,34,6.618,0.805,34,6.735,0.609,34,5.765,1.352,34,2.457,1.155,35,5.743,1.48,35,5,1.237,34
ship (transport),4,3.969,1.912,32,5.353,0.967,34,5.177,1.15,34,6.457,0.936,35,6,1.35,34,5.824,1.248,34,3.029,1.715,35,5.182,1.85,33,4.818,1.266,33
shoot (film),5,5.094,2.156,32,5.879,0.946,33,5.419,1.13,31,5.063,1.499,32,5.394,1.179,33,5.387,1.336,31,4.936,1.366,31,4.548,1.266,31,4.333,0.91,33
shoot (gun),5,6.029,2.063,35,2.382,1.372,34,6.088,2.594,34,5.794,1.207,34,6.242,1.303,33,5.424,1.706,33,3.171,1.108,35,4.242,1.759,33,5.829,0.774,35
shoot (plant),5,3.546,1.876,33,6.219,1.408,32,5,1.138,34,6.294,1.226,34,6.088,1.172,34,4.333,2.119,30,4.529,1.289,34,2.735,1.578,34,3.697,0.717,33
shot (gun),4,5.571,2.296,35,2.647,1.453,34,4.171,2.524,35,5.909,1.19,33,5.576,1.634,33,5.219,1.781,32,4,1.309,35,3.758,1.634,33,5.412,0.911,34
shot (injection),4,5.118,2.587,34,3.886,1.6,35,4.486,1.933,35,5.771,1.289,35,6.143,0.93,35,4.5,1.883,34,4.143,1.791,35,2.857,1.552,35,4.618,1.029,34
sick (disgusting),4,4.2,2.459,35,2.324,1.429,34,4.706,1.582,34,3.471,1.803,34,3.647,1.908,34,5.529,1.5,34,3.8,1.618,35,4.029,1.444,35,4.647,0.967,34
sick (ill),4,4.333,2.305,33,2.118,0.932,34,2.971,1.902,34,4.029,1.774,34,5.303,1.623,33,6.471,0.696,34,2.235,0.877,34,4.618,1.284,34,3.941,0.968,34
sink (dishes),4,2.588,1.717,34,4.206,0.963,34,4.781,1.727,32,6.5,0.777,34,6.588,0.647,34,6.441,0.976,34,2.364,0.731,33,2.853,1.498,34,3.313,1.184,32
sink (go down),4,3.412,2.198,34,2.824,1.175,34,3.818,2.467,33,4.206,1.659,34,4.8,1.786,35,4.829,1.828,35,3.588,1.309,34,3.455,1.616,33,4.429,1.05,35
sketch (drawing),6,4.75,2.136,32,5.735,1.171,34,5.629,1.758,35,5.471,1.48,34,6.143,0.96,35,5.441,1.594,34,3.943,1.393,35,3.424,1.232,33,3.429,1.226,35
sketch (play),6,4.818,2.066,33,5.875,1.269,32,5.394,1.205,33,4.667,1.57,33,5.355,1.381,31,4.419,1.792,31,4.515,1.69,33,4.364,1.432,33,3.909,0.712,33
skirt (clothes),5,5.371,2.058,35,5.765,1.031,34,5.486,1.381,35,6.529,0.776,34,6.543,0.996,35,6.177,1.403,34,2.6,0.932,35,2.588,1.216,34,1.294,0.516,34
skirt (go around),5,4.5,1.82,32,4.853,0.944,34,5.029,1.671,34,3.706,1.544,34,3.515,1.76,33,3.647,1.73,34,5.559,1.376,34,3.5,1.613,34,3.147,1.115,34
slight (little),6,3.057,1.567,35,4.882,0.9,34,4.4,1.534,35,3.618,1.645,34,3.636,1.494,33,5.455,1.559,33,4.441,1.518,34,2.29,0.957,31,3.324,0.962,34
slight (offend),6,4.394,1.774,33,3.229,1.017,35,4.706,1.672,34,3.057,1.194,35,2.743,1.25,35,3.353,1.696,34,5.657,1.351,35,4.057,1.218,35,4.286,1.03,35
slip (mistake),4,4.333,2.344,33,3,0.985,33,3.394,1.391,33,3.758,1.371,33,3.455,1.94,33,4.906,1.568,32,3.879,1.008,33,4,1.456,33,3.969,0.77,32
slip (notepaper),4,3.382,1.681,34,5.171,0.609,35,4.886,1.389,35,6.324,1.049,34,5.771,1.333,35,4.5,1.851,34,4.029,1.134,35,2.143,1.018,35,3.412,0.878,34
slip (slide),4,4.941,2.209,34,3.912,1.401,34,4,1.815,34,4.371,1.551,35,4.829,1.594,35,5.515,1.395,33,2.686,1.389,35,3.394,1.153,33,3.606,1.071,33
slug (hit),4,4.303,1.899,33,3.152,1.184,33,4.909,1.73,33,4.406,1.518,32,4.563,1.819,32,3.563,2.106,32,5.469,1.299,32,3.938,1.171,32,5.625,0.927,32
slug (insect),4,2.471,1.613,34,3.849,1.417,33,5.875,1.746,32,6.727,0.565,33,6.656,0.956,32,5.394,1.808,33,2.485,0.989,33,1.697,1.058,33,4.971,0.891,34
smart (intelligent),5,6.324,1.622,34,7.909,0.965,33,6.559,2.017,34,3.2,1.67,35,3.941,1.679,34,6.576,0.605,33,3.057,1.17,35,5.118,1.105,34,3.667,1.385,33
smart (well-dressed),5,5.4,2.073,35,7.171,1.54,35,6.857,2.282,35,4.265,1.578,34,5.457,1.592,35,6.147,1.033,34,3.912,1.597,34,4.2,1.369,35,5.457,1.179,35
sock (clothes),4,3.424,2.202,33,5.485,1.077,33,5.906,1.548,32,6.656,0.956,32,6.849,0.435,33,6.807,0.591,31,1.97,1.058,33,2.121,1.365,33,4.182,1.313,33
sock (hit),4,4.412,2.264,34,3.382,1.515,34,5.281,1.972,32,4.258,1.741,31,4.706,1.563,34,3.697,1.867,33,4.849,1.598,33,3.455,1.373,33,5.387,1.21,31
soil (earth),4,3.606,1.687,33,5.333,1.45,33,5.382,1.591,34,6.286,0.973,35,6.177,0.984,34,5.765,1.373,34,2.829,1.159,35,4.286,1.798,35,4.273,1.052,33
soil (mess up),4,3.314,1.924,35,2.629,1.436,35,3.686,1.982,35,3.353,1.797,34,3.829,1.874,35,4.206,1.922,34,5.029,1.797,35,4,1.549,35,4.743,1.024,35
sole (fish),4,2.906,1.809,32,5,0.853,33,4.788,1.273,33,6.118,1.51,34,5.5,1.92,32,3.613,1.861,31,5.618,1.476,34,2.559,1.168,34,3.906,1.071,32
sole (only),4,3.412,1.881,34,4.412,1.417,34,5.333,2.127,33,3.412,1.682,34,3.618,1.766,34,4.382,1.766,34,4.941,1.494,34,2.909,1.621,33,3.882,1.078,34
sole (shoe),4,2.516,1.604,31,5,0.492,33,5.063,1.248,32,6.25,1.118,32,6.455,0.891,33,5.546,1.539,33,3.563,1.478,32,2.813,1.13,32,4.094,0.879,32
solution (answer),8,5.152,2.376,33,7.303,1.403,33,6.758,1.907,33,3.182,1.696,33,3.471,1.882,34,6.226,0.906,31,4.424,1.349,33,5.125,1.244,32,4.257,1.317,35
solution (chemical),8,3.882,1.997,34,5.088,1.121,34,4.882,1.694,34,5.735,1.379,34,5,1.698,34,4.794,1.694,34,6.029,0.954,34,3.667,1.57,33,4.677,0.931,34
space (galaxies),5,6.765,2.157,34,6.5,1.399,34,3.912,2.344,34,4.941,1.893,34,5.853,1.556,34,6.029,1.071,34,3.382,0.908,34,6.471,1.169,34,5.059,0.938,34
space (room),5,4.343,1.851,35,5.824,0.923,34,5.171,1.483,35,4.529,1.913,34,5.143,1.71,35,5.941,1.474,34,2.829,1.32,35,4.8,1.77,35,3.912,0.818,34
spade (cards),5,3.969,2.243,32,5.382,0.94,34,5.364,1.573,33,6.206,0.932,34,6.353,0.967,34,4.758,1.615,33,3.424,1.156,33,2.114,1.063,35,4.794,1.207,34
spade (shovel),5,3.242,1.793,33,4.758,0.889,33,5.324,1.509,34,6.529,0.696,34,6.324,1.13,34,5.455,1.499,33,2.886,1.469,35,3.03,1.507,33,4.938,0.864,32
